編號,機構名稱,機構地址,行政區,行政區碼,106年,107年,108年,109年,110年,111年
58,臺北市私立華康托嬰中心,台灣大安區金華街223號,大安區,63000030,乙,,,乙,,
59,臺北市私立凱瑞莎托嬰中心,台北市大安區青田街6號,大安區,63000030,,,甲,,,乙
60,臺北市私立亞瑟王皇家托嬰中心,台北市大安區潮州街108號,大安區,63000030,,,乙,,,丙(輔導通過)
61,臺北市私立滿兒圓蒙特梭利托嬰中心,台灣大安區安和路一段135巷14號,大安區,63000030,,,乙,,,乙
62,臺北市私立璽愛托嬰中心,台北市大安區忠孝東路三段251巷4弄8號,大安區,63000030,通過,,,甲,,
63,臺北市私立勁寶兒大安托嬰中心,台北市大安區信義路三段147巷15弄27之1號,大安區,63000030,通過,,,乙,,
64,臺北市私立萌語托嬰中心,臺北市大安區安和路二段70號,大安區,63000030,,,優,,,優
65,臺北市私立芭蒂恩蒙氏家園托嬰中心,台北市大安區新生南路三段19巷3號,大安區,63000030,,,甲,,,甲
66,臺北市私立鑫田托嬰中心,台北市大安區大安路二段100號,大安區,63000030,,乙,,,乙,
67,臺北市私立小天心托嬰中心,台北市大安區新生南路三段86巷23號,大安區,63000030,通過,,,甲,,
68,臺北市私立以愛托嬰中心,台北市大安區和平東路一段183巷3弄2號,大安區,63000030,,,乙,,,甲
69,臺北市私立橘子樹寶貝托嬰中心,台北市大安區瑞安街155巷2號,大安區,63000030,,通過,,,乙,
70,臺北市私立新生蒙特梭利托嬰中心,台北市大安區新生南路一段103巷7號,大安區,63000030,,,乙,,,乙
71,臺北市私立凱瑞莎青田托嬰中心,台北市大安區青田街6號,大安區,63000030,,,乙,,,甲
72,臺北市私立采侑托嬰中心,台北市大安區羅斯福路三段333巷9號,大安區,63000030,,,乙,,,甲
73,臺北市私立翻轉學堂托嬰中心,台北市大安區四維路160巷14號,大安區,63000030,,,乙,,,甲
74,臺北市私立天心大安托嬰中心,台北市大安區新生南路三段86巷23號,大安區,63000030,,,優,,,甲
75,臺北市私立幸福日光托嬰中心,台北市大安區和平東路二段96巷10弄12號,大安區,63000030,,,,,乙,
76,臺北市私立夏莉絲托嬰中心,台北市大安區信義路二段44巷12號,大安區,63000030,,,,,乙,
77,臺北市私立萌語大安托嬰中心,台北市大安區安和路一段112巷22號,大安區,63000030,,,,甲,,
78,臺北市私立小樹屋托嬰中心,台北市大安區樂業街188號1樓,大安區,63000030,,,,,,乙
79,臺北市私立小育龍托嬰中心,台北市萬華區萬大路61號,萬華區,63000070,,,甲,,,甲
80,臺北市私立安馨托嬰中心,台北市萬華區中華路二段364巷13號,萬華區,63000070,通過,,,甲,,
81,臺北市小育龍莒光托嬰中心,台北市萬華區莒光路239號,萬華區,63000070,,,甲,,,甲
82,臺北市私立瑞吉歐托嬰中心,台北市萬華區中華路二段364巷17號,萬華區,63000070,,,,,,甲
83,臺北市私立安馨寶貝托嬰中心,台北市萬華區中華路二段364巷13號,萬華區,63000070,,,,,,甲
84,臺北市私立咕咕園信義托嬰中心,臺北市信義區松智路35號,信義區,63000020,,,乙,,,丙(輔導通過)
85,臺北市私立薇薇安娃娃國托嬰中心,台北市信義區忠孝東路五段236巷3弄29號,信義區,63000020,,,乙,,,乙
86,臺北市私立薇薇安娃娃國信義園托嬰中心,台北市信義區忠孝東路五段236巷37弄33號,信義區,63000020,,通過,,,乙,
87,臺北市私立信義小太陽托嬰中心,台北市信義區中坡南路98巷2號,信義區,63000020,,,乙,,,乙
88,臺北市私立維多利亞托嬰中心,台北市信義區松勤街132號,信義區,63000020,,,乙,,,甲
89,臺北市私立薇薇安娃娃國興雅園托嬰中心,台北市信義區忠孝東路五段236巷3弄29號,信義區,63000020,,,,,乙,
90,臺北市私立薇薇安娃娃國松德園托嬰中心,台北市信義區松德路180巷11號,信義區,63000020,,,,,乙,
91,臺北市私立柚子樹托嬰中心,台北市信義區信義路六段36號,信義區,63000020,,,,,,乙
92,臺北市私立怡寶優質托嬰中心,台北市士林區文林路740巷9弄24號,士林區,63000110,甲,,,優,,
93,臺北市私立怡寶托嬰中心,臺北市士林區文林路740巷11號,士林區,63000110,甲,,,甲,,
94,臺北市私立怡寶資優托嬰中心,臺北市士林區文林路740巷11號,士林區,63000110,,,優,,,優
95,臺北市私立好來托嬰中心,臺北市士林區士東路244號,士林區,63000110,,,甲,,,乙
96,臺北市私立春田托嬰中心,臺北市士林區忠誠路2段32巷9號,士林區,63000110,,,乙,,,甲
97,臺北市私立萌語天母托嬰中心,台北市士林區中山北路六段405巷70號,士林區,63000110,通過,甲,優,,,優
98,臺北市私立春田天母托嬰中心,台北市士林區忠誠路二段32巷9號,士林區,63000110,通過,,,乙,,
99,臺北市私立怡寶質優托嬰中心,臺北市士林區文林路740巷11號,士林區,63000110,,優,,,優,
100,臺北市私立長藤托嬰中心,臺北市士林區葫蘆里中正路655巷6號,士林區,63000110,,通過,,,甲,
101,臺北市私立維薆托嬰中心,台北市士林區忠誠路二段70巷13弄1號,士林區,63000110,,通過,,,甲,
102,臺北市私立好來天母托嬰中心,台北市士林區士東路244號,士林區,63000110,,通過,,,甲,
103,臺北市私立孩子國萌寶托嬰中心,台北市士林區承德路四段185號,士林區,63000110,,,甲,,,甲
104,臺北市私立雨聲托嬰中心,臺北市士林區雨聲街105號,士林區,63000110,,,甲,,,優
105,臺北市私立幼天才托嬰中心,台北市士林區華齡街180號,士林區,63000110,,,甲,,,優
106,臺北市私立怡寶士林官邸托嬰中心,台北市士林區中山北路五段520號,士林區,63000110,,,,,甲,
107,臺北市私立微笑音符托嬰中心,台北市士林區中山北路七段14巷9號,士林區,63000110,,,,,,乙
108,臺北市私立長藤幼苗托嬰中心,台北市士林區延平北路五段285巷54號,士林區,63000110,,,,,,甲
109,臺北市私立芳馨園二館托嬰中心,台北市北投區大興街23巷35號,北投區,63000120,,通過,,,甲,
110,臺北市私立安格托嬰中心,台北市北投區石牌路二段90巷17號,北投區,63000120,,,乙,,,乙
111,臺北市私立向暘托嬰中心,台北市北投區石牌路二段352號,北投區,63000120,,,甲,,,甲
112,臺北市私立幼輝托嬰中心,台北市北投區明德路118巷17號,北投區,63000120,甲,,,甲,,
113,臺北市私立可瑞荳托嬰中心,臺北市北投區大業路506號,北投區,63000120,優,,,優,,
114,臺北市私立芳馨園托嬰中心,台北市文山區久康街24巷36號,北投區,63000120,,,甲,,,甲
115,臺北市私立貝兒托嬰中心,台北市北投區吉利街158號,北投區,63000120,乙,甲,,,優,
116,臺北市私立小腳ㄚ托嬰中心,台北市北投區吉利街162號,北投區,63000120,,,甲,,,甲
117,臺北市私立小腳ㄚ大未來托嬰中心,台北市北投區吉利街162號,北投區,63000120,,,甲,,,甲
118,臺北市私立樂葳兒托嬰中心,台北市北投區文林北路112號,北投區,63000120,,,,,甲,
119,臺北市私立天華托嬰中心,台北市北投區光明路167號2號,北投區,63000120,,,,,甲,
120,臺北市私立滿月蒙特梭利托嬰中心,台北市北投區石牌路二段307號,北投區,63000120,,,,,,乙
121,臺北市私立是愛托嬰中心,台北市北投區永興路二段37號,北投區,63000120,,,,,,丙(輔導通過)
122,臺北市私立明德寶寶托嬰中心,台北市北投區致遠一路一段11巷1號,北投區,63000120,,,,,,丙(輔導通過)
123,臺北市私立快樂托嬰中心,台北市內湖區民權東路六段282號,內湖區,63000100,,乙,,,乙,
124,臺北市私立小小百合蒙特梭利托嬰中心,台北市內湖區星雲街36號,內湖區,63000100,,乙,,,甲,
125,臺北市私立貝比托嬰中心,台灣中山區中山北路二段116巷9號,內湖區,63000100,,甲,,,優,
126,臺北市私立櫻之圓蒙特梭利托嬰中心,台北市內湖區環山路一段24巷8號,內湖區,63000100,,優,,,優,
127,臺北市私立拉斐爾托嬰中心,台北市內湖區民權東路六段296巷87號,內湖區,63000100,乙,甲,,,甲,
128,臺北市私立嘉霙托嬰中心,台北市內湖區陽光街116號,內湖區,63000100,,,甲,,,甲
129,臺北市私立拉斐爾天使托嬰中心,台北市內湖區民權東路6段296巷87號,內湖區,63000100,,甲,,,丙(輔導通過),
130,臺北市私立斑比諾托嬰中心,台北市內湖區民權東路六段190號,內湖區,63000100,,,甲,,,甲
131,臺北市私立愛德芬托嬰中心,台北市內湖區民權東路六段296巷48號,內湖區,63000100,通過,,,乙,,
132,臺北市私立維多爾托嬰中心,台北市內湖區民權東路六段296巷41號,內湖區,63000100,,通過,,,甲,
133,臺北市私立勁寶兒文德托嬰中心,台北市內湖區內湖路二段130號,內湖區,63000100,,,乙,,,甲
134,臺北市私立愛寶貝內湖園托嬰中心,台北市內湖區內湖路二段271號,內湖區,63000100,,,乙,,,甲
135,臺北市私立艾兒嘉托嬰中心,台北市內湖區民權東路六段296巷66號,內湖區,63000100,,,乙,,,甲
136,臺北市私立永寶兒托嬰中心,台北市內湖區民權東路六段180巷6號,內湖區,63000100,,,乙,,,乙
137,臺北市私立一貳三托嬰中心,台北市內湖區金莊路26號,內湖區,63000100,,,甲,,,甲
138,臺北市私立璽典托嬰中心,台北市內湖區石潭路61號,內湖區,63000100,,,,,甲,
139,臺北市私立青穗國際托嬰中心,台北市內湖區東湖路113巷5弄16號,內湖區,63000100,,,,,乙,
140,臺北市私立藝蘭托嬰中心,台北市內湖區港墘路84號,內湖區,63000100,,,,,乙,
141,臺北市私立小幼苗托嬰中心,台北市內湖區星雲街99號,內湖區,63000100,,,,,,乙
142,臺北市私立貝格爾碧湖托嬰中心,台北市內湖區內湖路二段103巷64號,內湖區,63000100,,,,,,甲
143,臺北市私立小狀元托嬰中心,台北市南港區市民大道八段369號,南港區,63000090,乙,,,乙,,
